Year,Month,Day,Site,SumOfSumVolume
2020,5,5,4,5448
2020,5,6,4,5648
2020,5,7,4,5995
2020,5,8,4,5939
2020,5,9,4,4747
2020,5,10,4,3651
2020,5,11,4,5493
2020,5,12,4,5537
2020,5,13,4,5393
2020,5,14,4,5801
2020,5,15,4,6334
2020,5,16,4,5005
2020,5,17,4,4003
2020,5,18,4,6435
2020,5,19,4,5676
2020,5,20,4,5616
2020,5,21,4,7544
2020,5,22,4,7509
2020,5,23,4,5923
2020,5,24,4,4649
2020,5,25,4,7112
2020,5,26,4,7140
2020,5,27,4,7205
2020,5,28,4,7660
2020,5,29,4,7827
2020,5,30,4,6198
2020,5,31,4,2042
2020,6,1,4,4753
2020,6,2,4,6704
2020,6,3,4,5813
2020,6,4,4,89
2020,1,1,5,11174
2020,1,2,5,14737
2020,1,3,5,16215
2020,1,4,5,13884
2020,1,5,5,13007
2020,1,6,5,17537
2020,1,7,5,18069
2020,1,8,5,18354
2020,1,9,5,18693
2020,1,10,5,19235
2020,1,11,5,15486
2020,1,12,5,13813
2020,1,13,5,18094
2020,1,14,5,18206
2020,1,15,5,18952
2020,1,16,5,19743
2020,1,17,5,19567
2020,1,18,5,15947
2020,1,19,5,14622
2020,1,20,5,18624
2020,1,21,5,18521
2020,1,22,5,19031
2020,1,23,5,19473
2020,1,24,5,19710
2020,1,25,5,16252
2020,1,26,5,14086
2020,1,27,5,18520
2020,1,28,5,18977
2020,1,29,5,19287
2020,1,30,5,19211
2020,1,31,5,17507
2020,2,1,5,15870
2020,2,2,5,13658
2020,2,3,5,18810
2020,2,4,5,19383
2020,2,5,5,19241
2020,2,6,5,19396
2020,2,7,5,19442
2020,2,8,5,16487
2020,2,9,5,12410
2020,2,10,5,18572
2020,2,11,5,18635
2020,2,12,5,19158
2020,2,13,5,19197
2020,2,14,5,20098
2020,2,15,5,15388
2020,2,16,5,13057
2020,2,17,5,18565
2020,2,18,5,18758
2020,2,19,5,18927
2020,2,20,5,19126
2020,2,21,5,19590
2020,2,22,5,16610
2020,2,23,5,13499
2020,2,24,5,18442
2020,2,25,5,19133
2020,2,26,5,19224
2020,2,27,5,19804
2020,2,28,5,20189
2020,2,29,5,15744
2020,3,1,5,14214
2020,3,2,5,18991
2020,3,3,5,19292
2020,3,4,5,19608
2020,3,5,5,19568
2020,3,6,5,20124
2020,3,7,5,14894
2020,3,8,5,14103
2020,3,9,5,18993
2020,3,10,5,19231
2020,3,11,5,18811
2020,3,12,5,18982
2020,3,13,5,17526
2020,3,14,5,12829
2020,3,15,5,11020
2020,3,16,5,14379
2020,3,17,5,10237
2020,3,18,5,14535
2020,3,19,5,14943
2020,3,20,5,14945
2020,3,21,5,11043
2020,3,22,5,11086
2020,3,23,5,13495
2020,3,24,5,13691
2020,3,25,5,13681
2020,3,26,5,13831
2020,3,27,5,14510
2020,3,28,5,7263
2020,3,29,5,4886
2020,3,30,5,9269
2020,3,31,5,8955
2020,4,1,5,8921
2020,4,2,5,9469
2020,4,3,5,9903
2020,4,4,5,7182
2020,4,5,5,5828
2020,4,6,5,9021
2020,4,7,5,9623
2020,4,8,5,9577
2020,4,9,5,9696
2020,4,10,5,8532
2020,4,11,5,7285
2020,4,12,5,5207
2020,4,13,5,6003
2020,4,14,5,9501
2020,4,15,5,9660
2020,4,16,5,9764
2020,4,17,5,10377
2020,4,18,5,7208
2020,4,19,5,5984
2020,4,20,5,6878
2020,4,21,5,9888
2020,4,22,5,9991
2020,4,23,5,10245
2020,4,24,5,10607
2020,4,25,5,7731
2020,4,26,5,6148
2020,4,27,5,10090
2020,4,28,5,10227
2020,4,29,5,10138
2020,4,30,5,10840
2020,5,1,5,11205
2020,5,2,5,7894
2020,5,3,5,6767
2020,5,4,5,7227
2020,5,5,5,11713
2020,5,6,5,11618
2020,5,7,5,11775
2020,5,8,5,12609
2020,5,9,5,9849
2020,5,10,5,7732
2020,5,11,5,11830
2020,5,12,5,11879
2020,5,13,5,11907
2020,5,14,5,12347
2020,5,15,5,12846
2020,5,16,5,10179
2020,5,17,5,8543
2020,5,18,5,13377
2020,5,19,5,13758
2020,5,20,5,14506
2020,5,21,5,13497
2020,5,22,5,14817
2020,5,23,5,11412
2020,5,24,5,10390
2020,5,25,5,14400
2020,5,26,5,14536
2020,5,27,5,15119
2020,5,28,5,15337
2020,5,29,5,15368
2020,5,30,5,12325
2020,5,31,5,10577
2020,6,1,5,11205
2020,6,2,5,15247
2020,6,3,5,14903
2020,6,4,5,179
2020,1,1,6,14853
2020,1,2,6,19452
2020,1,3,6,21241
2020,1,4,6,18542
2020,1,5,6,16315
2020,1,6,6,22318
2020,1,7,6,23145
2020,1,8,6,24696
2020,1,9,6,25834
2020,1,10,6,26060
2020,1,11,6,21005
2020,1,12,6,18907
2020,1,13,6,23552
2020,1,14,6,24774
2020,1,15,6,22707
2020,1,16,6,24200
2020,1,17,6,25882
2020,1,18,6,20604
2020,1,19,6,18372
2020,1,20,6,24593
2020,1,21,6,26220
2020,1,22,6,26881
2020,1,23,6,26707
2020,1,24,6,27227
2020,1,25,6,22140
2020,1,26,6,19149
2020,1,27,6,23514
2020,1,28,6,25427
2020,1,29,6,25595
2020,1,30,6,26806
2020,1,31,6,28001
2020,2,1,6,24929
2020,2,2,6,19743
2020,2,3,6,23426
2020,2,4,6,25514
2020,2,5,6,24906
2020,2,6,6,26576
2020,2,7,6,27664
2020,2,8,6,24851
2020,2,9,6,20593
2020,2,10,6,24387
2020,2,11,6,24790
2020,2,12,6,25109
2020,2,13,6,27330
2020,2,14,6,26778
2020,2,15,6,22751
2020,2,16,6,18700
2020,2,17,6,24269
2020,2,18,6,24441
2020,2,19,6,25036
2020,2,20,6,27551
2020,2,21,6,27825
2020,2,22,6,23587
2020,2,23,6,18783
2020,2,24,6,24702
2020,2,25,6,25485
2020,2,26,6,27063
2020,2,27,6,27491
2020,2,28,6,28355
2020,2,29,6,23210
2020,3,1,6,18644
2020,3,2,6,24243
2020,3,3,6,25830
2020,3,4,6,26161
2020,3,5,6,27201
2020,3,6,6,28581
2020,3,7,6,22282
2020,3,8,6,19534
2020,3,9,6,24605
2020,3,10,6,25795
2020,3,11,6,26088
2020,3,12,6,26671
2020,3,13,6,24617
2020,3,14,6,17279
2020,3,15,6,13690
2020,3,16,6,18657
2020,3,17,6,12181
2020,3,18,6,18028
2020,3,19,6,17384
2020,3,20,6,17515
2020,3,21,6,11948
2020,3,22,6,11035
2020,3,23,6,15316
2020,3,24,6,15799
2020,3,25,6,15134
2020,3,26,6,14826
2020,3,27,6,15853
2020,3,28,6,7744
2020,3,29,6,5572
2020,3,30,6,9401
2020,3,31,6,9067
2020,4,1,6,8975
2020,4,2,6,8944
2020,4,3,6,10320
2020,4,4,6,7105
2020,4,5,6,6903
2020,4,6,6,9690
2020,4,7,6,9908
2020,4,8,6,10015
2020,4,9,6,9707
2020,4,10,6,8890
2020,4,11,6,8081
2020,4,12,6,5487
2020,4,13,6,6398
2020,4,14,6,9935
2020,4,15,6,9965
2020,4,16,6,10272
2020,4,17,6,10948
2020,4,18,6,7783
2020,4,19,6,6370
2020,4,20,6,10219
2020,4,21,6,10741
2020,4,22,6,9902
2020,4,23,6,10664
2020,4,24,6,10727
2020,4,25,6,8230
2020,4,26,6,6554
2020,4,27,6,10314
2020,4,28,6,10256
2020,4,29,6,10398
2020,4,30,6,10759
2020,5,1,6,11661
2020,5,2,6,9164
2020,5,3,6,8169
2020,5,4,6,8316
2020,5,5,6,11784
2020,5,6,6,11835
2020,5,7,6,11790
2020,5,8,6,13017
2020,5,9,6,10724
2020,5,10,6,7948
2020,5,11,6,11617
2020,5,12,6,11769
2020,5,13,6,12423
2020,5,14,6,13135
2020,5,15,6,12951
2020,5,16,6,10552
2020,5,17,6,9076
2020,5,18,6,12990
2020,5,19,6,14217
2020,5,20,6,14835
2020,5,21,6,14838
2020,5,22,6,16159
2020,5,23,6,12039
2020,5,24,6,11030
2020,5,25,6,14343
2020,5,26,6,15061
2020,5,27,6,15729
