SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long
61,DORSET ST @ NORTH CIRCULAR RD,dorset st @ north circular rd,NCITY,53.359794,-6.26129
62,DRIMNAGH RD @ WALKINSTOWN RD,drimnagh rd @ walkinstown rd,WCITY1,53.324027,-6.328007
63,DRUMCONDRA RD @ CLONLIFFE RD,drumcondra rd @ clonliffe rd,NCITY,53.36338899,-6.25783264
64,SWORDS RD @ GRIFFITH AV,swords rd @ griffith av,NCITY,53.375853,-6.250423
65,DRUMCONDRA RD @ HOME FARM RD,drumcondra rd @ home farm rd,NCITY,53.373441,-6.252043
66,DRUMCONDRA RD @ RICHMOND RD,drumcondra rd @ richmond rd,NCITY,53.36873,-6.255011
67,DRUMCONDRA RD @ WHITWORTH RD,drumcondra rd @ whitworth rd,NCITY,53.361724,-6.259479
69,DUBLIN RD @ KILBARRACK RD,dublin rd @ kilbarrack rd,WCITY1,53.374194,-6.164698566
70,EARLSFORT TCE @ HATCH ST,earlsfort tce @ hatch st,SCITY,53.3332865,-6.2578673
71,EMMET RD @ TYRCONNELL RD,emmet rd @ tyrconnell rd,WCITY1,53.339541,-6.321016
72,FAIRVIEW @ FAIRVIEW STRAND (EDGES CORNER),fairview @ fairview strand (edges corner),NCITY,53.362856,-6.236443
73,FAIRVIEW @ MALAHIDE RD / HOWTH RD,fairview @ malahide rd / howth rd,NCITY,53.3644,-6.229796
75,FENIAN ST @ HOLLES ST,fenian st @ holles st,CCITY,53.3410846,-6.2453144
76,GARDINER PL / MOUNTJOY SQ,gardiner pl / mountjoy sq,CCITY,53.356808,-6.259113
77,GRAND CANAL ST @ HADDINGTON RD,grand canal st @ haddington rd,SCITY,53.33728663,-6.234682657
78,GRANGE RD @ KILBARRACK RD,grange rd @ kilbarrack rd,WCITY1,53.39108502,-6.16837546
80,GRIFFITH AV @ GRACE PARK RD,griffith av @ grace park rd,NCITY,53.37400216,-6.24328512
81,HAROLDS CROSS BRIDGE,harolds cross bridge,SCITY,53.329514,-6.275594
82,HAROLDS CROSS RD @ LEINSTER RD,harolds cross rd @ leinster rd,SCITY,53.32166648,-6.27912199
83,HAROLDS CROSS RD  @ PARK,harolds cross rd  @ park,SCITY,53.326407,-6.278056
84,HAROLDS CROSS RD @ RATHGAR AV,harolds cross rd @ rathgar av,CCITY,53.3186632,-6.2789822
85,SCR @ HEYTESBURY ST,scr @ heytesbury st,SCITY,53.3324471,-6.268333147
86,HOWTH RD @ BROOKWOOD AV,howth rd @ brookwood av,WCITY1,53.3756276,-6.1942887
87,HOWTH RD @ COPELAND AVE,howth rd @ copeland ave,WCITY1,53.3661254,-6.2235609
88,HOWTH RD @ STATION RD,howth rd @ station rd,WCITY1,53.38039654,-6.17510658
90,JAMES LARKIN RD @ WATERMILL RD,james larkin rd @ watermill rd,NCITY,53.3858199,-6.1370926
91,JAMESTOWN RD / MCKEE AVE / SEAMUS ENNIS RD,jamestown rd / mckee ave / seamus ennis rd,NCITY,53.3903381,-6.2981604
92,IRISHTOWN RD @ BATH ST,irishtown rd @ bath st,SCITY,53.3395019,-6.2236852
93,IRISHTOWN RD @ LONDONBRIDGE,irishtown rd @ londonbridge,SCITY,53.33795058,-6.222437918
94,JERVIS ST @ ABBEY ST  (LUAS),jervis st @ abbey st  (luas),CCITY,53.3475745,-6.2669066
95,JERVIS ST @ MARY ST,jervis st @ mary st,CCITY,53.3491454,-6.2668865
97,KIMMAGE RD LOWER @ SUNDRIVE RD,kimmage rd lower @ sundrive rd,SCITY,53.319471,-6.290559
98,KCR AND KIMMAGE RD/RAVENSDALE,kcr and kimmage rd/ravensdale,SCITY,53.312106,-6.299684
